543 11
_4_
неюхмрябпкйилоцшгътдаэсфвьчжыщу	10	4	+[MAP]
неюхмрябпкйилоцшгътдаэсфвьчжыщу	11	0	 [FR1]
_53_
юенхмряплкйабдсшцъугоэфвьичытщж	1	0	 [JAC]
нхюемряйбкцалоъшпсжвгэтудыифьчщ	2	0	 [DAT]
неюхмрябпкйдлосшгъцаиэувьфчытщж	3	0	 [MAP]
неюхмряблкйдгосшпъцаиэфвьучытщж	4	2	+[JAC]
неюхмрябпкйдлосшгъцаиэувьфчытщж	5	2	+[MAP]
неюхмрябпкйдлосшгъцаиэувьфчытщж	6	1	+[MAP]
нхюемряйбкцалоъшпсжвгэтудыифьчщ	7	1	+[DAT]
нхюемряйбкцалоъшпсжвгэтудыифьчщ	8	3	+[DAT]
неюхмрябпкйдлосшгъцаиэувьфчытщж	9	3	+[JAC]
неюхмрябпкйдлосшгъцаиэувьфчытщж	10	4	+[MAP]
неюхмрябпкйдлосшгъцаиэувьфчытщж	11	0	 [FR1]
_56_
неюхмрябпкйдлосшгъцаиэжвьфчытщу	1	0	 [JAC]
неюхмрябпкодлйсшгъьаиэцвтфчжыщу	2	0	 [DAT]
неюхмрябпкйдлосшгъцаиэжвьфчытщу	3	0	 [MAP]
неюхмрябплйдкосшгъцаиэвьтфчжыщу	4	2	+[JAC]
неюхмрябпкйдлосшгъцаиэжвьфчытщу	5	2	+[MAP]
неюхмрябпкйдлосшгъцаиэжвьфчытщу	6	1	+[MAP]
неюхмрябпкйдлосшгъьаиэцвтфчжыщу	7	1	+[DAT]
неюхмрябпкйдлосшгъьаиэцвтфчжыщу	8	3	+[DAT]
неюхмрябпкйдлосшгъцаиэжвьфчытщу	9	3	+[JAC]
неюхмрябпкйдлосшгъцаиэжвьфчытщу	10	4	+[MAP]
неюхмрябпкйдлосшгъцаиэжвьфчытщу	11	0	 [FR1]
_57_
неюхмрябпкйдлосшгъцаиэувьфчжыщт	1	0	 [JAC]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	2	0	 [DAT]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	3	0	 [MAP]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	4	2	+[JAC]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	5	2	+[MAP]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	6	1	+[MAP]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	7	1	+[DAT]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	8	3	+[DAT]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	9	3	+[JAC]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	10	4	+[MAP]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	11	0	 [FR1]
_58_
неюхмрябпкйдлосшгъцаиэувьфчжыщт	1	0	 [JAC]
нхюемрябпкйдлосшгъцажэивьфчтыщу	2	0	 [DAT]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	3	0	 [MAP]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	4	2	+[JAC]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	5	2	+[MAP]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	6	1	+[MAP]
нхюемрябпкйдлосшгъцажэивьфчтыщу	7	1	+[DAT]
нхюемрябпкйдлосшгъцажэивьфчтыщу	8	3	+[DAT]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	9	3	+[JAC]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	10	4	+[MAP]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	11	0	 [FR1]
_59_
неюхмрябпкйдлосшгъцаиэувтфчьыщж	1	0	 [JAC]
неюхмрябпкйдлосшгъцаиэувжфчтыщь	2	0	 [DAT]
неюхмрябпкйдлосшгъцаиэувтфчьыщж	3	0	 [MAP]
неюхмрябпкйдлосшгъцаиэувтфчьыщж	4	2	+[JAC]
неюхмрябпкйдлосшгъцаиэувтфчьыщж	5	2	+[MAP]
неюхмрябпкйдлосшгъцаиэувтфчьыщж	6	1	+[MAP]
неюхмрябпкйдлосшгъцаиэувжфчтыщь	7	1	+[DAT]
неюхмрябпкйдлосшгъцаиэувжфчтыщь	8	3	+[DAT]
неюхмрябпкйдлосшгъцаиэувтфчьыщж	9	3	+[JAC]
неюхмрябпкйдлосшгъцаиэувтфчьыщж	10	4	+[MAP]
неюхмрябпкйдлосшгъцаиэувтфчьыщж	11	0	 [FR1]
_60_
неюхмрябпкйдлосшгъцаиэувьфчжыщт	1	0	 [JAC]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	2	0	 [DAT]
неюхмрябпкйдлосшгъцаиэувьфчтыщж	3	0	 [MAP]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	4	2	+[JAC]
неюхмрябпкйдлосшгъцаиэувьфчтыщж	5	2	+[MAP]
неюхмрябпкйдлосшгъцаиэувьфчтыщж	6	1	+[MAP]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	7	1	+[DAT]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	8	3	+[DAT]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	9	3	+[JAC]
неюхмрябпкйдлосшгъцаиэувьфчтыщж	10	4	+[MAP]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	11	0	 [FR1]
_74_
неюхмрябпкйдлосшгъцаиэщвжфчуыьт	1	0	 [JAC]
неюхмкябпьйдросшлъцаиэыгвучжтщф	2	0	 [DAT]
юхнемябйркодлщсшаъцвиэпгыуфтжчь	3	0	 [MAP]
неюхмрябпкйдлосшгъцаиэувжфчьыщт	4	2	+[JAC]
неюхмрябпкйдлосшгъцаиэьвжфчуыщт	5	2	+[MAP]
неюхмрябпкйдлосшгъцаиэьвжфчуыщт	6	1	+[MAP]
неюхмкябптйдросшлъцаиэыгвучжьщф	7	1	+[DAT]
хеюнмкябрьйдпвсшоъуаиэглжцчфтщы	8	3	+[DAT]
неюхмябйркодпщсшгъцлиэувафчжыть	9	3	+[JAC]
неюхмрябпкйдлосшгъцаиэьвжфчуыщт	10	4	+[MAP]
неюхмрябпкйдлосшгъцаиэьвжфчуыщт	11	0	 [FR1]
_76_
неюхмрябпкйдлосшгъцаиэувьфчжыщт	1	0	 [JAC]
нехюмрябпкйлдосшгъцаиэувьфчтыщж	2	0	 [DAT]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	3	0	 [MAP]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	4	2	+[JAC]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	5	2	+[MAP]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	6	1	+[MAP]
нехюмрябпкйлдосшгъцаиэувьфчтыщж	7	1	+[DAT]
нехюмрябпкйлдосшгъцаиэувьфчтыщж	8	3	+[DAT]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	9	3	+[JAC]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	10	4	+[MAP]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	11	0	 [FR1]
_77_
неюхмрябпкйдлосшгъцаиэуфвтчьжщы	1	0	 [JAC]
неюхмрябпкйдлоъшгсцаиэувьфчтыщж	2	0	 [DAT]
неюхмрябпкйлдосшгъцаиэувьфчтжщы	3	0	 [MAP]
неюхмрябпкйдлосшгъцаиэуфвтчьжщы	4	2	+[JAC]
неюхмрябпкйлдосшгъцаиэувьфчтжщы	5	2	+[MAP]
неюхмрябпкйлдосшгъцаиэувьфчтжщы	6	1	+[MAP]
неюхмрябпкйдлоъшгсцаиэувьфчтыщж	7	1	+[DAT]
неюхмрябпкйдлоъшгсцаиэувьфчтыщж	8	3	+[DAT]
неюхмрябпкйдлосшгъцаиэуфвтчьжщы	9	3	+[JAC]
неюхмрябпкйлдосшгъцаиэувьфчтжщы	10	4	+[MAP]
неюхмрябпкйдлосшгъцаиэувьфчтжщы	11	0	 [FR1]
_78_
неюхмрябпкйдлосшгъцаиэуфьвчжтщы	1	0	 [JAC]
неюхкрябпмйглосшдъуаиэцвыфчтжщь	2	0	 [DAT]
юенхмрябпкйглцсшоъдавэиуьфчыжщт	3	0	 [MAP]
неюхмрябпкйглосшвъцаиэудьфчжтщы	4	2	+[JAC]
неюхмрябпкйглосшвъцаиэудьфчыжщт	5	2	+[MAP]
неюхмрябпкйдлосшгъцаиэуфьвчыжщт	6	1	+[MAP]
неюхкрямпбйглосшвъуаиэцьыфчтжщд	7	1	+[DAT]
неюхкрямпбйглосшвъуаиэцьыфчтжщд	8	3	+[DAT]
неюхмрябпкйглосшвъцаиэудьфчжтщы	9	3	+[JAC]
неюхмрябпкйглосшвъцаиэудьфчыжщт	10	4	+[MAP]
неюхмрябпкйглосшвъцаиэудьфчыжщт	11	0	 [FR1]
_79_
неюхмрябпкйдлосшгъцаиэувтфчжыщь	1	0	 [JAC]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	2	0	 [DAT]
неюхмрябпкйдлосшгъцаиэувтфчжыщь	3	0	 [MAP]
неюхмрябпкйдлосшгъцаиэувтфчжыщь	4	2	+[JAC]
неюхмрябпкйдлосшгъцаиэувтфчжыщь	5	2	+[MAP]
неюхмрябпкйдлосшгъцаиэувтфчжыщь	6	1	+[MAP]
